ID,R2_implementation_yes_SM1,R2_implementation_yes_SM2,R2_implementation_yes_SM3,R2_implementation_yes_SM4,R2_implementation_yes_SM5,R2_implementation_yes_SM6,R2_implementation_yes_SM7,R2_implementation_yes_NM1,R2_implementation_yes_NM2,R2_implementation_yes_NM3,R2_implementation_yes_NM4,R2_implementation_yes_NM5,R2_implementation_yes_NM6,R2_implementation_yes_NM7,R2_implementation_yes_NM8,R2_implementation_yes_NM9,R2_implementation_yes_NM10,R2_implementation_yes_NM11,R2_implementation_yes_ins,Q2_no_action_reason_SM1,Q2_no_action_reason_SM2,Q2_no_action_reason_SM3,Q2_no_action_reason_SM4,Q2_no_action_reason_SM5,Q2_no_action_reason_SM6,Q2_no_action_reason_SM7,Q2_no_action_reason_NM1,Q2_no_action_reason_NM2,Q2_no_action_reason_NM3,Q2_no_action_reason_NM4,Q2_no_action_reason_NM5,Q2_no_action_reason_NM6,Q2_no_action_reason_NM7,Q2_no_action_reason_NM8,Q2_no_action_reason_NM9,Q2_no_action_reason_NM10,Q2_no_action_reason_NM11,Q3a_implementation_cost_SM1,Q3a_implementation_cost_SM2,Q3a_implementation_cost_SM3,Q3a_implementation_cost_SM4,Q3a_implementation_cost_SM5,Q3a_implementation_cost_SM6,Q3a_implementation_cost_SM7,Q3a_implementation_cost_NM1,Q3a_implementation_cost_NM2,Q3a_implementation_cost_NM3,Q3a_implementation_cost_NM4,Q3a_implementation_cost_NM5,Q3a_implementation_cost_NM6,Q3a_implementation_cost_NM7,Q3a_implementation_cost_NM8,Q3a_implementation_cost_NM9,Q3a_implementation_cost_NM10,Q3a_implementation_cost_NM11,Q3a_implementation_cost_ins,Q3b_perc_cost_SM1,Q3b_perc_cost_SM2,Q3b_perc_cost_SM3,Q3b_perc_cost_SM4,Q3b_perc_cost_SM5,Q3b_perc_cost_SM6,Q3b_perc_cost_SM7,Q3b_perc_cost_NM1,Q3b_perc_cost_NM2,Q3b_perc_cost_NM3,Q3b_perc_cost_NM4,Q3b_perc_cost_NM5,Q3b_perc_cost_NM6,Q3b_perc_cost_NM7,Q3b_perc_cost_NM8,Q3b_perc_cost_NM9,Q3b_perc_cost_NM10,Q3b_perc_cost_NM11,Q3b_perc_cost_ins,Q4_measure_loan,R02a_perc_prob_change,R02_perc_prob,R02_perc_prob_other,R03a_perc_damage_change,R03_perc_damage,R04a_perc_health_change,R04_perc_health,R05a_worry_change,R05_worry,R013_recent_flood_exp,R013a_recent_flood_damage,R013b_recent_flood_health,R013c_recent_flood_cost,R06a_media_freq,R06b_social_media_freq,R010_flood_convo,R011_local_flood_convo,R01a_resilience_1_change,R01_resilience_1,R01a_resilience_2_change,R01_resilience_2,R01a_resilience_3_change,R01_resilience_3,R01a_resilience_4_change,R01_resilience_4,R01a_resilience_5_change,R01_resilience_5,R01a_resilience_6_change,R01_resilience_6,R09_savings_change,R09a_savings_change_frac,R08a_economic_comfort_change,R08_economic_comfort,R012_lost_job,R012a_lost_job_impact,Q22_recovery_time,Q22a_no_recovery_since,Q23_disrupted_electricity,Q23_disrupted_water,Q23_disrupted_waste,Q23_disrupted_travel,Q23_disrupted_internet,Q23_disrupted_food,Q23_disrupted_other
939,,,2.0,,2.0,,,3.0,,,2.0,,,,1.0,2.0,,,,,,3.0,,2.0,,,,,,8.0,,,,,9.0,,,200000.0,1000000.0,,-7.0,,-7.0,150000.0,,,,,-7.0,-7.0,-7.0,-7.0,,300000.0,-7.0,,,,200000.0,,150000.0,,,,,,-7.0,,,,,-7.0,,,,20.0,1.0,,,,,1.0,,1.0,,1,1.0,1.0,-7.0,4,1,2,0.0,1.0,,1.0,,1.0,,0.0,5.0,1.0,,1.0,,3,,1.0,,0,,4.0,,0.0,0.0,0.0,1.0,1.0,1.0,0.0
1009,,,,,3.0,3.0,,,,3.0,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,-7.0,,,,,-7.0,,,,-7.0,,-7.0,,,,-7.0,,,,,,,,,,,,,,,,-7.0,-7.0,,,,0.0,1.0,,,0.0,5.0,1.0,,1.0,,0,,,,3,2,2,1.0,1.0,,0.0,5.0,0.0,3.0,1.0,,1.0,,0.0,2.0,3,,1.0,,0,,,,,,,,,,
1034,,,,,3.0,2.0,3.0,,,1.0,3.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,25000000.0,,,,,365000.0,400000.0,2450000.0,,0.0,,0.0,0.0,,1000000.0,0.0,,,,,,,7000000.0,,,,,,,3000000.0,,,,,,,54.0,1.0,,,1.0,,1.0,,1.0,,0,,,,4,4,7,5.0,1.0,,1.0,,1.0,,0.0,4.0,1.0,,0.0,4.0,2,40.0,0.0,2.0,1,5.0,,,,,,,,,
1085,,,,,,,,,,,,2.0,,,1.0,2.0,,,,,,,,,,,,,,,,,,,3.0,,,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,,,,,,-7.0,-7.0,,-7.0,-7.0,,,,,,,,,,,,,-7.0,,,,-7.0,,,,-7.0,1.0,,,1.0,,1.0,,1.0,,0,,,,3,3,1,2.0,1.0,,1.0,,1.0,,0.0,4.0,1.0,,1.0,,2,50.0,1.0,,1,4.0,,,,,,,,,
1089,,,1.0,,2.0,,,,,2.0,2.0,2.0,2.0,,,1.0,,,2.0,,,,,,,,,,5.0,6.0,3.0,4.0,,,,,,,,200000.0,,,200000.0,-7.0,-7.0,,,,,,-7.0,,-7.0,-7.0,-7.0,,,,,,200000.0,,,,,200000.0,200000.0,-7.0,-7.0,,,,,,-7.0,22.0,1.0,,,1.0,,1.0,,1.0,,1,2.0,2.0,200000.0,4,4,3,10.0,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1,50.0,1.0,,1,4.0,3.0,,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1260,,2.0,2.0,2.0,,,,,,,,,1.0,1.0,,,2.0,1.0,,,9.0,,5.0,,,,,,,,,,,,,97.0,,-7.0,,,,-7.0,,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,,-7.0,,,-7.0,500000.0,200000.0,,,,,,,,,,,,,100000.0,,,50.0,1.0,,,1.0,,,,1.0,,0,,,,2,3,5,5.0,1.0,,0.0,3.0,1.0,,0.0,1.0,0.0,5.0,0.0,4.0,3,,0.0,5.0,0,,1.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1303,2.0,1.0,2.0,1.0,2.0,3.0,2.0,,3.0,2.0,1.0,2.0,2.0,,,2.0,,,2.0,,,,,,,,,,,,6.0,,,,,,,,-7.0,,-7.0,,,,200000.0,,,-7.0,,,0.0,-7.0,,500000.0,-7.0,,-7.0,,-7.0,,-7.0,,-7.0,,,-7.0,,0.0,-7.0,,,-7.0,,,300000.0,0.0,1.0,,,1.0,,1.0,,1.0,,0,,,,4,2,3,3.0,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,3,,1.0,,0,,,,,,,,,,
1327,,,,,2.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,100000.0,,,,,,-7.0,,,300000.0,-7.0,,,,,,-7.0,,,,,,,,,,0.0,,,,,,1.0,,,0.0,3.0,1.0,,1.0,,0,,,,2,3,1,1.0,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,3,,1.0,,0,,3.0,,1.0,1.0,0.0,0.0,1.0,0.0,0.0
1360,1.0,2.0,2.0,,,,1.0,,,2.0,1.0,,2.0,,,,,,,,1.0,9.0,,,,,,,4.0,,,2.0,,,,,,-7.0,,,500.0,200.0,400.0,500.0,50.0,50.0,,0.0,0.0,,0.0,0.0,0.0,500.0,0.0,,,1000000.0,200000.0,,,,,,,5000000.0,,,1500000.0,,,,,,,50.0,1.0,,,1.0,,1.0,,1.0,,1,3.0,3.0,6000000.0,5,4,11,7.0,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,3,,1.0,,0,,1.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,,,,,,,,,,,,,,,,,,,,,88.0,1.0,,,1.0,,1.0,,1.0,,0,,,,3,3,3,3.0,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,3,,1.0,,1,4.0,98.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0
