,question_answers_combined,ADICO_Category
Q11a_hazard_type4_0.0,"Flooding (any type), Hurricanes",Condition
Q11a_hazard_type5_0.0,"Sea level rise, Hurricanes",Condition
Q11a_hazard_type6_0.0,"(Wild) Fires, Hurricanes",Condition
Q11a_hazard_type7_0.0,"Earthquakes, Hurricanes",Condition
Q11a_hazard_type8_0.0,"Tsunamis, Hurricanes",Condition
Q11a_hazard_type9_0.0,"Extreme Temperatures, Hurricanes",Condition
Q11a_hazard_not_say_0.0,"Prefer not to say, Hurricanes",Condition
Q12_risk_aversion_1.0,"Are you generally ready to take risks in your life or do you avoid risks?, ",Aim/Condition
R01_resilience_nan,"Please select on the scale how you feel about each item, ",Condition
R01_resilience_1_1.0,"My household can bounce back from any challenge that life throws at it, Please select on the scale how you feel about each item",Condition
R01_resilience_2_1.0,"During times of hardship, my household can change its primary income or source of livelihood if needed, Please select on the scale how you feel about each item",Condition
R01_resilience_3_1.0,"If hardships or natural disasters became more frequent and intense, my household would still find a way to get by, Please select on the scale how you feel about each item",Condition
R01_resilience_4_1.0,"During times of hardship, my household can access the financial support I need (e.g. such as access to credit at a bank), Please select on the scale how you feel about each item",Condition
R01_resilience_5_1.0,"My household can rely on the support of family and friends when I need help, Please select on the scale how you feel about each item",Condition
R01_resilience_6_1.0,"My household can rely on the support from my government when I need help (e.g. receiving funding or support in the event of a natural disaster), Please select on the scale how you feel about each item",Condition
Q14_early_warn_0.0,"Is there an early warning system in place that allows your household to receive information about any future risks from natural disasters?, ",Condition
Q15_responsibility_1.0,"In your opinion, whose responsibility is it to deal with natural hazards and floods?, ",Aim/Condition
Q16_compens_gov_nan,"If your household is affected by a flood how much compensation (or disaster relief funding) do you think you would you receive from the government? Please choose an option on the scale from 0% to 100%, ",Condition
Q17_compens_nan,"Other than the government, in the event of a flood, are there other sources that you would expect to provide you with compensation? Multiple answers possible, ",Condition
Q17_compens_noone_0.0,"No one, Other than the government, in the event of a flood, are there other sources that you would expect to provide you with compensation? Multiple answers possible",Condition
Q17_compens_ins_0.0,"My insurance, Other than the government, in the event of a flood, are there other sources that you would expect to provide you with compensation? Multiple answers possible",Condition
Q17_compens_owner_0.0,"The owner of the flat, Other than the government, in the event of a flood, are there other sources that you would expect to provide you with compensation? Multiple answers possible",Condition
Q17_compens_family_0.0,"My family and friends, Other than the government, in the event of a flood, are there other sources that you would expect to provide you with compensation? Multiple answers possible",Condition
Q17_compens_ngo_0.0,"Charitable organizations, NGOs, Other than the government, in the event of a flood, are there other sources that you would expect to provide you with compensation? Multiple answers possible",Condition
Q17_compens_other_0.0,"Other groups, Other than the government, in the event of a flood, are there other sources that you would expect to provide you with compensation? Multiple answers possible",Condition
Q17_compens_dont_know_0.0,"Don't know, Other than the government, in the event of a flood, are there other sources that you would expect to provide you with compensation? Multiple answers possible",Condition
Q18_flood_exp_0.0,"Have you ever personally experienced a flood of any kind?, ",Condition
Q18a_flood_where_1.0,"Where have you experienced a flood?, Have you ever personally experienced a flood of any kind?",Condition
Q18b_flood_year_nan,"What year was the flood? If you have experienced multiple floods, please list the most recent., Have you ever personally experienced a flood of any kind?",Condition
Q18c_flood_health_0.0,"Did the flood affect your health in such a way that you were unable to work or had to take time off?, Have you ever personally experienced a flood of any kind?",Condition
Q18ci_flood_work_1.0,"How many months of work did you miss? Please select the most appropriate answer., Have you ever personally experienced a flood of any kind?",Condition
Q18d_flood_cost_nan,"Please provide an approximation of the financial losses that the LAST flood or inundation caused to your personal property, Have you ever personally experienced a flood of any kind?",Condition
Q19_flood_affect_ID_0.0,"Were you affected by the floods in January 2020?, ",Condition
Q19a_flood_cost_ID_nan,"Please provide your best estimate in Rupiah of how much the flood cost you financially through damages, loss of property, inability to work, etc., Were you affected by the floods in January 2020?",Condition
Q20_support_accom_0.0,"In the event of a flood or disaster where you had to evacuate your home, do you have family or friends whom you could stay with?, ",Condition
Q21_support_financial_1.0,"In the event of a disaster where you were unable to work, how long could you count on your family, friends, or network to financially support you?, ",Condition
Q22_gov_measures_1.0,"Do you think the current measures that the municipal government in your area have implemented are sufficient to stop the risks of floods and heavy rain?, ",Condition
R02_perc_prob_1.0,"How often do you think a flood occurs on the property on which you live (e.g. due to rivers or heavy rain, storms and cyclones)? Which category is the most appropriate?, ",Condition
Q24_perc_prob_change_1.0,"Do you expect that the risk of flooding in your area to increase, decrease, or stay the same in the next ten years?, ",Condition
R03_perc_damage_1.0,"In the event of a major flood such as the flooding from the [Name of flood depending on country] how severe (or not) do you think the physical damage to your house would be?, ",Condition
Q26_flood_damage_ID_1.0,"You said you were affected by the 2020 Jakarta Flood. How severe was the damage to your house after the floods?, ",Condition
Q27_perc_prob_30y_nan,"Imagine you stay in your house for the next 30 years what is the likelihood you believe your household will experience a flood? Please enter your answer as a percentage (e.g. 25%)., ",Condition
R04_perc_health_1.0,"In the event of a flood in your area, how likely or unlikely do you think it is that you or another member of your household would suffer health consequences?, ",Condition
R05_worry_1.0,"How worried or not are you about the potential impact of flooding on your home?, ",Condition
R06_media_freq_nan,"How frequently do you read information about flooding and other hazards?, ",Aim/Condition
R06a_media_freq_1.0,"From the general media, How frequently do you read information about flooding and other hazards?",Aim/Condition
R06b_social_media_freq_1.0,"From social media (i.e. Facebook, Instagram, WeChat, Weibo, etc.), How frequently do you read information about flooding and other hazards?",Aim/Condition
Q31_media_trust_nan,"To what extent, if at all, do you trust information about flooding and other hazrds?, ",Aim/Condition
Q31a_media_trust_1.0,"From the general media, To what extent, if at all, do you trust information about flooding and other hazrds?",Aim/Condition
Q31b_social_media_trust_1.0,"From social media (i.e. Facebook, Instagram, WeChat, Weibo, etc.), To what extent, if at all, do you trust information about flooding and other hazrds?",Aim/Condition
Q32_climate_belief_1.0,"There is a lot of discussion about global climate change and its connection to extreme weather events. Which of the following statements do you most agree with?, ",Condition
Q33_climate_affect_1.0,"Which of the following most accurately your belief about climate change?, ",Condition
R1_perceptions_SM_nan,"The following are some structural measures that households can undertake to protect themselves from flooding. Please answer each of the following questions on a scale from 1 to 5., ",Condition
R1a_self_efficacy_SM_nan,"Do you have the ability to undertake the structural measure either yourself or by paying a professional to do so?, ",Condition
R1a_self_efficacy_SM1_1.0,"Raising the level of the ground floor above the most likely flood level, Do you have the ability to undertake the structural measure either yourself or by paying a professional to do so?",Condition
R1a_self_efficacy_SM2_1.0,"Strengthen the housing foundations to withstand water pressures, Do you have the ability to undertake the structural measure either yourself or by paying a professional to do so?",Condition
R1a_self_efficacy_SM3_1.0,"Reconstructing or reinforcing the walls and/or the ground floor with water-resistant materials, Do you have the ability to undertake the structural measure either yourself or by paying a professional to do so?",Condition
R1a_self_efficacy_SM4_1.0,"Raising the electricity meter above the most likely flood level or on an upper floor, Do you have the ability to undertake the structural measure either yourself or by paying a professional to do so?",Condition
R1a_self_efficacy_SM5_1.0,"Installing anti-backflow valves on pipes, Do you have the ability to undertake the structural measure either yourself or by paying a professional to do so?",Condition
R1a_self_efficacy_SM6_1.0,"Installing a pump and/or one or more system(s) to drain flood water, Do you have the ability to undertake the structural measure either yourself or by paying a professional to do so?",Condition
R1a_self_efficacy_SM7_1.0,"Fixing water barriers (e.g. water-proof basement windows), Do you have the ability to undertake the structural measure either yourself or by paying a professional to do so?",Condition
R1b_resp_efficacy_SM_nan,"How effective do you believe that implementing this structural measure would be in reducing the risk of flood damage to your home and possessions?, ",Condition
R1b_resp_efficacy_SM1_1.0,"Raising the level of the ground floor above the most likely flood level, How effective do you believe that implementing this structural measure would be in reducing the risk of flood damage to your home and possessions?",Condition
R1b_resp_efficacy_SM2_1.0,"Strengthen the housing foundations to withstand water pressures, How effective do you believe that implementing this structural measure would be in reducing the risk of flood damage to your home and possessions?",Condition
R1b_resp_efficacy_SM3_1.0,"Reconstructing or reinforcing the walls and/or the ground floor with water-resistant materials, How effective do you believe that implementing this structural measure would be in reducing the risk of flood damage to your home and possessions?",Condition
R1b_resp_efficacy_SM4_1.0,"Raising the electricity meter above the most likely flood level or on an upper floor, How effective do you believe that implementing this structural measure would be in reducing the risk of flood damage to your home and possessions?",Condition
R1b_resp_efficacy_SM5_1.0,"Installing anti-backflow valves on pipes, How effective do you believe that implementing this structural measure would be in reducing the risk of flood damage to your home and possessions?",Condition
R1b_resp_efficacy_SM6_1.0,"Installing a pump and/or one or more system(s) to drain flood water, How effective do you believe that implementing this structural measure would be in reducing the risk of flood damage to your home and possessions?",Condition
R1b_resp_efficacy_SM7_1.0,"Fixing water barriers (e.g. water-proof basement windows), How effective do you believe that implementing this structural measure would be in reducing the risk of flood damage to your home and possessions?",Condition
R1c_perc_cost_SM_nan,"When you think in terms of your income and your other expenses, do you believe that implementing or paying someone to implement this structural measure would be cheap or expensive?, ",Condition
R1c_perc_cost_SM1_1.0,"Raising the level of the ground floor above the most likely flood level, When you think in terms of your income and your other expenses, do you believe that implementing or paying someone to implement this structural measure would be cheap or expensive?",Condition
R1c_perc_cost_SM2_1.0,"Strengthen the housing foundations to withstand water pressures, When you think in terms of your income and your other expenses, do you believe that implementing or paying someone to implement this structural measure would be cheap or expensive?",Condition
R1c_perc_cost_SM3_1.0,"Reconstructing or reinforcing the walls and/or the ground floor with water-resistant materials, When you think in terms of your income and your other expenses, do you believe that implementing or paying someone to implement this structural measure would be cheap or expensive?",Condition
R1c_perc_cost_SM4_1.0,"Raising the electricity meter above the most likely flood level or on an upper floor, When you think in terms of your income and your other expenses, do you believe that implementing or paying someone to implement this structural measure would be cheap or expensive?",Condition
R1c_perc_cost_SM5_1.0,"Installing anti-backflow valves on pipes, When you think in terms of your income and your other expenses, do you believe that implementing or paying someone to implement this structural measure would be cheap or expensive?",Condition
R1c_perc_cost_SM6_1.0,"Installing a pump and/or one or more system(s) to drain flood water, When you think in terms of your income and your other expenses, do you believe that implementing or paying someone to implement this structural measure would be cheap or expensive?",Condition
R1c_perc_cost_SM7_1.0,"Fixing water barriers (e.g. water-proof basement windows), When you think in terms of your income and your other expenses, do you believe that implementing or paying someone to implement this structural measure would be cheap or expensive?",Condition
R2_implementation_SM_nan,"Please indicate if you have already implemented any of these structural measures or if you intend to do so in the future, ",Aim/Condition
R2_implementation_SM1_1.0,"Raising the level of the ground floor above the most likely flood level, Please indicate if you have already implemented any of these structural measures or if you intend to do so in the future",Aim/Condition
R2_implementation_SM2_1.0,"Strengthen the housing foundations to withstand water pressures, Please indicate if you have already implemented any of these structural measures or if you intend to do so in the future",Aim/Condition
R2_implementation_SM3_1.0,"Reconstructing or reinforcing the walls and/or the ground floor with water-resistant materials, Please indicate if you have already implemented any of these structural measures or if you intend to do so in the future",Aim/Condition
R2_implementation_SM4_1.0,"Raising the electricity meter above the most likely flood level or on an upper floor, Please indicate if you have already implemented any of these structural measures or if you intend to do so in the future",Aim/Condition
R2_implementation_SM5_1.0,"Installing anti-backflow valves on pipes, Please indicate if you have already implemented any of these structural measures or if you intend to do so in the future",Aim/Condition
R2_implementation_SM6_1.0,"Installing a pump and/or one or more system(s) to drain flood water, Please indicate if you have already implemented any of these structural measures or if you intend to do so in the future",Aim/Condition
R2_implementation_SM7_1.0,"Fixing water barriers (e.g. water-proof basement windows), Please indicate if you have already implemented any of these structural measures or if you intend to do so in the future",Aim/Condition
Q37_dam_reduction_1.0,"Please consider ALL of the structural measures that you have implemented AND/OR the ones you intend to. How much of a difference in protection do you think these measures would make protecting your house and belongings in the event of a severe flood?, ",Condition
R1a_self_efficacy_NM_nan,"Do you have the ability to undertake the nonstructural measure either yourself or by paying a professional to do so?, ",Condition
R1a_self_efficacy_NM1_1.0,"Keeping a working flashlight and/or a battery-operated radio and/or emergency kit in a convenient location, Do you have the ability to undertake the nonstructural measure either yourself or by paying a professional to do so?",Condition
R1a_self_efficacy_NM2_1.0,"Purchasing sandbags, or other water barriers, Do you have the ability to undertake the nonstructural measure either yourself or by paying a professional to do so?",Condition
R1a_self_efficacy_NM3_1.0,"Buying a spare power generator to power your home, Do you have the ability to undertake the nonstructural measure either yourself or by paying a professional to do so?",Condition
R1a_self_efficacy_NM4_1.0,"Being an active member in a community group aimed at making the community safer, Do you have the ability to undertake the nonstructural measure either yourself or by paying a professional to do so?",Condition
R1a_self_efficacy_NM5_1.0,"Coordinating with the neighbors in case you are not home when a flood occurs, they would know what to do, Do you have the ability to undertake the nonstructural measure either yourself or by paying a professional to do so?",Condition
R1a_self_efficacy_NM6_1.0,"Installing a refuge zone, or an opening in the roof of your home or apartment, Do you have the ability to undertake the nonstructural measure either yourself or by paying a professional to do so?",Condition
R1a_self_efficacy_NM7_1.0,"Storing or placing important possessions (such as documents or expensive furniture) in such a manner to avoid flood damage, Do you have the ability to undertake the nonstructural measure either yourself or by paying a professional to do so?",Condition
R1a_self_efficacy_NM8_1.0,"Asking someone (local government, Civil Defense, etc.) for information about what to do in case of emergency, Do you have the ability to undertake the nonstructural measure either yourself or by paying a professional to do so?",Condition
R1a_self_efficacy_NM9_1.0,"Asking/ petitioning government representative to increase the public protection measures, Do you have the ability to undertake the nonstructural measure either yourself or by paying a professional to do so?",Condition
R1a_self_efficacy_NM10_1.0,"Storing emergency food and water supplies, Do you have the ability to undertake the nonstructural measure either yourself or by paying a professional to do so?",Condition
R1a_self_efficacy_NM11_1.0,"Moving/ storing valuable assets on higher floors or elevated areas, Do you have the ability to undertake the nonstructural measure either yourself or by paying a professional to do so?",Condition
R1b_resp_efficacy_NM_nan,"How effective do you believe that implementing this nonstructural measure would be in reducing the risk of flood damage to your home and possessions?, ",Condition
R1b_resp_efficacy_NM1_1.0,"Keeping a working flashlight and/or a battery-operated radio and/or emergency kit in a convenient location, How effective do you believe that implementing this nonstructural measure would be in reducing the risk of flood damage to your home and possessions?",Condition
R1b_resp_efficacy_NM2_1.0,"Purchasing sandbags, or other water barriers, How effective do you believe that implementing this nonstructural measure would be in reducing the risk of flood damage to your home and possessions?",Condition
R1b_resp_efficacy_NM3_1.0,"Buying a spare power generator to power your home, How effective do you believe that implementing this nonstructural measure would be in reducing the risk of flood damage to your home and possessions?",Condition
R1b_resp_efficacy_NM4_1.0,"Being an active member in a community group aimed at making the community safer, How effective do you believe that implementing this nonstructural measure would be in reducing the risk of flood damage to your home and possessions?",Condition
R1b_resp_efficacy_NM5_1.0,"Coordinating with the neighbors in case you are not home when a flood occurs, they would know what to do, How effective do you believe that implementing this nonstructural measure would be in reducing the risk of flood damage to your home and possessions?",Condition
R1b_resp_efficacy_NM6_1.0,"Installing a refuge zone, or an opening in the roof of your home or apartment, How effective do you believe that implementing this nonstructural measure would be in reducing the risk of flood damage to your home and possessions?",Condition
R1b_resp_efficacy_NM7_1.0,"Storing or placing important possessions (such as documents or expensive furniture) in such a manner to avoid flood damage, How effective do you believe that implementing this nonstructural measure would be in reducing the risk of flood damage to your home and possessions?",Condition
R1b_resp_efficacy_NM8_1.0,"Asking someone (local government, Civil Defense, etc.) for information about what to do in case of emergency, How effective do you believe that implementing this nonstructural measure would be in reducing the risk of flood damage to your home and possessions?",Condition
R1b_resp_efficacy_NM9_1.0,"Asking/ petitioning government representative to increase the public protection measures, How effective do you believe that implementing this nonstructural measure would be in reducing the risk of flood damage to your home and possessions?",Condition
R1b_resp_efficacy_NM10_1.0,"Storing emergency food and water supplies, How effective do you believe that implementing this nonstructural measure would be in reducing the risk of flood damage to your home and possessions?",Condition
R1b_resp_efficacy_NM11_1.0,"Moving/ storing valuable assets on higher floors or elevated areas, How effective do you believe that implementing this nonstructural measure would be in reducing the risk of flood damage to your home and possessions?",Condition
R1c_perc_cost_NM_nan,"When you think in terms of your income and your other expenses, do you believe that implementing or paying someone to implement this nonstructural measure would be cheap or expensive?, ",Condition
R1c_perc_cost_NM1_1.0,"Keeping a working flashlight and/or a battery-operated radio and/or emergency kit in a convenient location, When you think in terms of your income and your other expenses, do you believe that implementing or paying someone to implement this nonstructural measure would be cheap or expensive?",Condition
R1c_perc_cost_NM2_1.0,"Purchasing sandbags, or other water barriers, When you think in terms of your income and your other expenses, do you believe that implementing or paying someone to implement this nonstructural measure would be cheap or expensive?",Condition
R1c_perc_cost_NM3_1.0,"Buying a spare power generator to power your home, When you think in terms of your income and your other expenses, do you believe that implementing or paying someone to implement this nonstructural measure would be cheap or expensive?",Condition
R1c_perc_cost_NM4_1.0,"Being an active member in a community group aimed at making the community safer, When you think in terms of your income and your other expenses, do you believe that implementing or paying someone to implement this nonstructural measure would be cheap or expensive?",Condition
R1c_perc_cost_NM5_1.0,"Coordinating with the neighbors in case you are not home when a flood occurs, they would know what to do, When you think in terms of your income and your other expenses, do you believe that implementing or paying someone to implement this nonstructural measure would be cheap or expensive?",Condition
R1c_perc_cost_NM6_1.0,"Installing a refuge zone, or an opening in the roof of your home or apartment, When you think in terms of your income and your other expenses, do you believe that implementing or paying someone to implement this nonstructural measure would be cheap or expensive?",Condition
R1c_perc_cost_NM7_1.0,"Storing or placing important possessions (such as documents or expensive furniture) in such a manner to avoid flood damage, When you think in terms of your income and your other expenses, do you believe that implementing or paying someone to implement this nonstructural measure would be cheap or expensive?",Condition
R1c_perc_cost_NM8_1.0,"Asking someone (local government, Civil Defense, etc.) for information about what to do in case of emergency, When you think in terms of your income and your other expenses, do you believe that implementing or paying someone to implement this nonstructural measure would be cheap or expensive?",Condition
R1c_perc_cost_NM9_1.0,"Asking/ petitioning government representative to increase the public protection measures, When you think in terms of your income and your other expenses, do you believe that implementing or paying someone to implement this nonstructural measure would be cheap or expensive?",Condition
R1c_perc_cost_NM10_1.0,"Storing emergency food and water supplies, When you think in terms of your income and your other expenses, do you believe that implementing or paying someone to implement this nonstructural measure would be cheap or expensive?",Condition
R1c_perc_cost_NM11_1.0,"Moving/ storing valuable assets on higher floors or elevated areas, When you think in terms of your income and your other expenses, do you believe that implementing or paying someone to implement this nonstructural measure would be cheap or expensive?",Condition
R2_implementation_NM_nan,"Please indicate if you have already implemented any of these nonstructural measures or if you intend to do so in the future, ",Aim/Condition
R2_implementation_NM1_1.0,"Keeping a working flashlight and/or a battery-operated radio and/or emergency kit in a convenient location, Please indicate if you have already implemented any of these nonstructural measures or if you intend to do so in the future",Aim/Condition
R2_implementation_NM2_1.0,"Purchasing sandbags, or other water barriers, Please indicate if you have already implemented any of these nonstructural measures or if you intend to do so in the future",Aim/Condition
R2_implementation_NM3_1.0,"Buying a spare power generator to power your home, Please indicate if you have already implemented any of these nonstructural measures or if you intend to do so in the future",Aim/Condition
R2_implementation_NM4_1.0,"Being an active member in a community group aimed at making the community safer, Please indicate if you have already implemented any of these nonstructural measures or if you intend to do so in the future",Aim/Condition
R2_implementation_NM5_1.0,"Coordinating with the neighbors in case you are not home when a flood occurs, they would know what to do, Please indicate if you have already implemented any of these nonstructural measures or if you intend to do so in the future",Aim/Condition
R2_implementation_NM6_1.0,"Installing a refuge zone, or an opening in the roof of your home or apartment, Please indicate if you have already implemented any of these nonstructural measures or if you intend to do so in the future",Aim/Condition
R2_implementation_NM7_1.0,"Storing or placing important possessions (such as documents or expensive furniture) in such a manner to avoid flood damage, Please indicate if you have already implemented any of these nonstructural measures or if you intend to do so in the future",Aim/Condition
R2_implementation_NM8_1.0,"Asking someone (local government, Civil Defense, etc.) for information about what to do in case of emergency, Please indicate if you have already implemented any of these nonstructural measures or if you intend to do so in the future",Aim/Condition
R2_implementation_NM9_1.0,"Asking/ petitioning government representative to increase the public protection measures, Please indicate if you have already implemented any of these nonstructural measures or if you intend to do so in the future",Aim/Condition
R2_implementation_NM10_1.0,"Storing emergency food and water supplies, Please indicate if you have already implemented any of these nonstructural measures or if you intend to do so in the future",Aim/Condition
R2_implementation_NM11_1.0,"Moving/ storing valuable assets on higher floors or elevated areas, Please indicate if you have already implemented any of these nonstructural measures or if you intend to do so in the future",Aim/Condition
Q41_ins_CN_ID_US_1.0,"Do you currently have flood insurance or an insurance policy that you are certain covers flooding?, ",Aim/Condition
Q41a_ins_amount_CN_ID_US_nan,"What amount of flood damage is your household insured up to? (If you aren’t sure, please provide your best estimate), ",Condition
Q41a_property_CN_ID_US_nan,"Property damage, What amount of flood damage is your household insured up to? (If you aren’t sure, please provide your best estimate)",Condition
Q41a_possessions_CN_ID_US_nan,"Possessions, What amount of flood damage is your household insured up to? (If you aren’t sure, please provide your best estimate)",Condition
Q41b_ins_intention_CN_ID_US_0.0,"Do you intend to purchase flood insurance in the next 12 months?, ",Aim/Condition
Q41c_ins_self_efficacy_CN_ID_US_0.0,"Do you know how to purchase flood insurance if you wanted to?, ",Condition
Q42_ins_resp_efficacy_CN_ID_US_1.0,"To what extent do you think that flood insurance would compensate you for losses during a flood?, ",Condition
Q43_ins_perc_cost_CN_ID_US_1.0,"When you think in terms of your income and your other general expenses, do you believe that flood insurance would be/is cheap or expensive?, ",Condition
Q44_social_expectation_1.0,"Do your family, friends and/or social network expect you to prepare your household for flooding?, ",Condition
R07_adaptation_others_1.0,"Thinking about your friends, families, and neighbours, how many households have taken some adaptive action towards flooding?, ",Condition
Q46_dikes_NL_0.0,"Please select the option that describes your household, ",Condition
Q47a_employer_type_CN_ID_1.0,"Employer type, ",Attribute/Condition
Q47b_industry_type_CN_ID_1.0,"Industry type, Employer type",Attribute/Condition
Q48_business_owner_0.0,"Do you own your own business?, ",Attribute/Condition
Q49_self_employed_NL_0.0,"Are you self-employed?, ",Condition
Q50_employer_size_1.0,"Business size, ",Condition
Q51_unempl_time_1.0,"If you were to become unemployed, what is your best guess on how much time it would take you to find employment?, ",Condition
Q52_multiple_income_0.0,"Does your household have multiple sources of income?, ",Condition
Q52a_income_job_1.0,"Roughly what percentage of your household's monthly income is due to your job?, ",Condition
Q53_income_CN_1.0,"What was your total family income from all sources last year in 2019?, ",Condition
Q53_income_ID_nan,"Please fill in your TOTAL annual income in Rupiah., What was your total family income from all sources last year in 2019?",Condition
R08_economic_comfort_1.0,"When considering your salary along with your expenses, how would you describe your level of 'economic comfort'?, ",Condition
R09_savings_change_1.0,"How does your current TOTAL household savings compare to your total household savings 2 years ago?, ",Condition
R09a_savings_change_frac_nan,"By how much did your savings change? If you are not exactly sure please provide your best estimation. Please enter your answer as a percentage., ",Condition
Q56_savings_change_future_1.0,"How does your current TOTAL household savings compare to what you expect to have saved in 2 years?, ",Condition
Q56a_savings_change_future_frac_nan,"By how much do you expect your savings to change? If you are not exactly sure please provide your best estimation. Please enter your answer as a percentage., ",Condition
Q57_hh_size_CN_ID_1.0,"Household size, ",Condition
Q58_savings_1.0,"With regards to your household's savings, what statement most closely reflects your current household situation?, ",Condition
Q59_disability_0.0,"Is anyone living with you physically or mentally alter-abled/ disabled?, ",Condition
Q60_child_or_elder_nan,"Do you have children under the age of 12 or adults over the age 70 living with you? Please select all that apply (multiple answers possible), ",Condition
Q60_child_0.0,"Yes – children under 12, Do you have children under the age of 12 or adults over the age 70 living with you? Please select all that apply (multiple answers possible)",Condition
Q60_elder_0.0,"Yes – adults over 70, Do you have children under the age of 12 or adults over the age 70 living with you? Please select all that apply (multiple answers possible)",Condition
Q60_no_0.0,"No, Do you have children under the age of 12 or adults over the age 70 living with you? Please select all that apply (multiple answers possible)",Condition
Q60_not_say_0.0,"Prefer not to say, Do you have children under the age of 12 or adults over the age 70 living with you? Please select all that apply (multiple answers possible)",Condition
Q60a_parent_0.0,"Are you the parent or guardian of any children under the age of 18?, ",Condition
Q61_single_parent_0.0,"Are you a single parent?, ",Condition
