ID,Q0_age,Q0_gender,Q0_ethnicity_ID,Q0_education_ID,Q0_employment_ID_NL,Q0_postcode,Q1_home_ID_NL_US,Q2_floors_1,Q2_floors_2,Q2_floors_3,Q3_constr_qual,Q4_home_size_CN_ID_NL,Q5_home_tenure,Q5a_mortgage,Q5b_home_sell,Q6_home_costs,Q7_move_in,Q8_move_out,Q9_easy_leave,Q10_community,Q11_search_improve,Q11_search_social,Q11_search_family,Q11_search_area,Q11_search_job,Q11_search_location,Q11_search_hazard,Q11_search_other,Q11_search_dontknow,Q11a_hazard_type1,Q11a_hazard_type2,Q11a_hazard_type3,Q11a_hazard_type4,Q11a_hazard_type5,Q11a_hazard_type6,Q11a_hazard_type7,Q11a_hazard_type8,Q11a_hazard_type9,Q11a_not_say,Q12_risk_aversion,R01_resilience_1,R01_resilience_2,R01_resilience_3,R01_resilience_4,R01_resilience_5,R01_resilience_6,Q14_early_warn,Q15_responsibility,Q16_compens_gov,Q17_compens_noone,Q17_compens_ins,Q17_compens_owner,Q17_compens_family,Q17_compens_ngo,Q17_compens_other,Q17_compens_dont_know,Q18_flood_exp,Q18a_flood_where,Q18b_flood_year,Q18c_flood_health,Q18ci_flood_work,Q18d_flood_cost,Q19_flood_affect_ID,Q19a_flood_cost_ID,Q20_support_accom,Q21_support_financial,Q22_gov_measures,R02_perc_prob,Q24_perc_prob_change,R03_perc_damage,Q26_flood_damage_ID,Q27_perc_prob_30y,R04_perc_health,R05_worry,R06a_media_freq,R06b_social_media_freq,Q31a_media_trust,Q31b_social_media_trust,Q32_climate_belief,Q33_climate_affect,R1a_self_efficacy_SM1,R1a_self_efficacy_SM2,R1a_self_efficacy_SM3,R1a_self_efficacy_SM4,R1a_self_efficacy_SM5,R1a_self_efficacy_SM6,R1a_self_efficacy_SM7,R1b_resp_efficacy_SM1,R1b_resp_efficacy_SM2,R1b_resp_efficacy_SM3,R1b_resp_efficacy_SM4,R1b_resp_efficacy_SM5,R1b_resp_efficacy_SM6,R1b_resp_efficacy_SM7,R1c_perc_cost_SM1,R1c_perc_cost_SM2,R1c_perc_cost_SM3,R1c_perc_cost_SM4,R1c_perc_cost_SM5,R1c_perc_cost_SM6,R1c_perc_cost_SM7,R2_implementation_SM1,R2_implementation_SM2,R2_implementation_SM3,R2_implementation_SM4,R2_implementation_SM5,R2_implementation_SM6,R2_implementation_SM7,Q37_dam_reduction,R1a_self_efficacy_NM1 ,R1a_self_efficacy_NM2,R1a_self_efficacy_NM3,R1a_self_efficacy_NM4,R1a_self_efficacy_NM5,R1a_self_efficacy_NM6,R1a_self_efficacy_NM7,R1a_self_efficacy_NM8,R1a_self_efficacy_NM9,R1a_self_efficacy_NM10,R1a_self_efficacy_NM11,R1b_resp_efficacy_NM1,R1b_resp_efficacy_NM2,R1b_resp_efficacy_NM3,R1b_resp_efficacy_NM4,R1b_resp_efficacy_NM5,R1b_resp_efficacy_NM6,R1b_resp_efficacy_NM7,R1b_resp_efficacy_NM8,R1b_resp_efficacy_NM9,R1b_resp_efficacy_NM10,R1b_resp_efficacy_NM11,R1c_perc_cost_NM1,R1c_perc_cost_NM2,R1c_perc_cost_NM3,R1c_perc_cost_NM4,R1c_perc_cost_NM5,R1c_perc_cost_NM6,R1c_perc_cost_NM7,R1c_perc_cost_NM8,R1c_perc_cost_NM9,R1c_perc_cost_NM10,R1c_perc_cost_NM11,R2_implementation_NM1,R2_implementation_NM2,R2_implementation_NM3,R2_implementation_NM4,R2_implementation_NM5,R2_implementation_NM6,R2_implementation_NM7,R2_implementation_NM8,R2_implementation_NM9,R2_implementation_NM10,R2_implementation_NM11,Q41_ins_CN_ID_US,Q41a_property_CN_ID_US,Q41a_possessions_CN_ID_US,Q41b_ins_intention_CN_ID_US,Q41c_ins_self_efficacy_CN_ID_US,Q42_ins_resp_efficacy_CN_ID_US,Q43_ins_perc_cost_CN_ID_US,Q44_social_expectation,R07_adaptation_others,Q47a_employer_type_CN_ID,Q47b_industry_type_CN_ID,Q48_business_owner,Q50_employer_size,Q51_unempl_time,Q52_multiple_income,Q52a_income_job,Q53_income_ID,R08_economic_comfort,R09_savings_change,R09a_savings_change_frac,Q56_savings_change_future,Q56a_savings_change_future_frac,Q57_hh_size_CN_ID,Q58_savings,Q59_disability,Q60_child,Q60_elder,Q60_no,Q60_not_say,Q61_single_parent
939,2,1,97,5,1,14240.0,2,0.0,1.0,0.0,2,2,2,6.0,2000000000.0,5000000,2003,98,2,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2,3,3,2,3,2,98,1,66.0,0,1,0,0,0,0,0,,,,1.0,98.0,,1,,0,2,3,1,2,,4.0,50.0,3,5,4,3,3,3,2,1,3,5,5,4,3,4,4,2,4,4,3,3,3,2,3,3,5,3,4,4,2,1,4,3,4,3,1,1,2.0,3,5,1,3,4,3,3,3,1,3,3,3,3,3,2,2,3,3,3,4,4,2,3,3,4,2,3,2,3,3,2,3,3,2,2,4,2,3,1,1,3,2,2,2,2,70.0,75.0,,,4,3,2,98,1.0,28.0,1,8.0,2,1,6.0,,3,2,,2,,5,7,0,0,1,0,0,
1009,3,1,7,4,1,12530.0,2,0.0,1.0,0.0,3,5,2,98.0,1000000000.0,300000,1990,2,3,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,3,3,2,3,5,3,5,1,3,,0,0,0,0,0,0,1,0.0,,,,,,0,,1,2,3,1,2,1.0,,5.0,4,1,3,2,4,4,1,3,3,3,3,3,3,3,5,5,5,3,5,3,5,5,4,5,5,4,3,3,1,6,6,2,6,2,2,6,98.0,5,5,5,3,5,5,5,4,5,5,5,5,5,5,2,4,5,5,3,4,5,5,1,1,3,2,1,2,1,3,4,1,1,1,6,6,6,1,6,1,6,6,6,1,3,,,0.0,1.0,98,3,2,98,1.0,12.0,1,10.0,1,0,,,3,3,10,1,20,4,2,0,0,0,1,0,0.0
1034,3,2,1,5,1,12140.0,1,0.0,0.0,1.0,4,1,2,1.0,900000000.0,5000000,2020,2,3,1,1,0,0,0,1,1,0,0,0,,,,,,,,,,,4,4,2,3,3,3,3,0,3,70.0,0,0,0,1,0,0,0,0.0,,,,,,0,,0,3,3,1,2,2.0,,20.0,3,2,3,4,3,3,1,3,1,1,1,1,1,1,1,2,2,2,2,1,2,2,5,5,5,3,4,4,2,6,6,5,6,5,4,5,2.0,5,5,3,2,4,5,5,2,2,5,5,5,3,3,2,3,4,5,3,2,4,5,2,2,4,1,1,4,2,2,4,2,2,4,5,5,4,3,5,2,5,6,5,1,3,,,0.0,0.0,3,4,3,4,1.0,3.0,1,8.0,2,0,,180000000.0,3,2,,1,30,2,1,0,1,1,0,0,1.0
1085,2,2,9,3,7,11470.0,1,0.0,0.0,1.0,2,1,2,6.0,1000000000.0,3000000,2019,98,3,0,0,0,1,0,0,1,0,0,0,,,,,,,,,,,1,3,4,3,4,3,5,1,3,,0,0,0,0,0,0,1,0.0,,,,,,0,,0,1,3,1,98,1.0,,25.0,3,2,3,3,3,3,1,3,1,1,1,1,1,1,1,3,3,2,3,4,4,3,5,5,5,3,4,5,5,1,1,1,1,1,1,1,4.0,3,1,1,1,1,1,5,1,1,3,5,3,3,3,1,3,3,5,4,3,5,5,3,5,5,5,5,5,3,5,5,5,4,1,6,6,6,6,6,1,2,2,1,1,3,,,0.0,0.0,98,5,5,98,,,1,,4,0,,36000000.0,1,1,90,1,90,5,1,0,1,0,0,0,99.0
1089,2,1,6,3,1,12710.0,1,0.0,1.0,1.0,4,4,1,,,2500000,2019,1,5,0,0,0,0,1,1,1,0,0,0,,,,,,,,,,,5,2,2,2,2,2,2,1,3,75.0,0,0,0,0,1,0,0,1.0,2.0,2019.0,1.0,1.0,0.0,0,,1,2,2,1,2,2.0,,10.0,2,3,5,4,4,4,3,2,2,3,3,3,3,3,3,3,4,3,3,4,4,4,4,4,5,4,3,2,3,2,3,3,2,4,4,3,2.0,2,3,3,3,4,4,3,4,4,4,4,3,3,3,3,4,4,3,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,3,,,1.0,1.0,2,4,4,3,2.0,9.0,0,9.0,2,1,8.0,60000000.0,4,3,87,2,,1,2,0,0,1,0,0,0.0
1260,2,1,1,5,1,61174.0,2,0.0,1.0,0.0,3,3,2,1.0,300000000.0,2500000,2019,4,4,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,5,2,2,1,2,2,5,1,3,25.0,0,0,0,1,0,1,0,1.0,1.0,2004.0,0.0,,2000000.0,0,,1,2,2,3,2,2.0,,25.0,4,3,4,4,3,3,3,2,2,3,2,3,2,2,2,4,4,3,4,4,3,3,4,4,3,3,4,3,3,2,2,4,3,4,6,5,1.0,3,4,3,3,4,5,3,3,4,4,4,4,4,3,4,4,3,4,3,3,3,3,4,3,3,3,3,4,2,3,4,2,4,2,3,4,5,3,4,3,4,4,3,5,3,,,0.0,0.0,98,3,2,7,2.0,5.0,1,11.0,1,0,,50000000.0,3,1,***,1,*****,3,1,0,1,0,0,0,0.0
1303,2,2,1,4,1,60111.0,3,0.0,1.0,0.0,1,6,2,6.0,500000.0,500000,2005,98,1,0,1,0,1,1,0,1,0,0,0,,,,,,,,,,,3,1,2,1,1,1,2,98,3,100.0,1,0,0,0,0,0,0,0.0,,,,,,0,,1,3,2,1,2,2.0,,0.0,3,1,5,4,4,3,1,3,4,4,4,4,4,3,4,5,5,3,5,3,3,3,4,4,5,4,4,4,4,5,5,6,5,6,6,6,4.0,4,4,3,4,4,4,5,3,3,4,4,5,1,3,3,4,4,5,4,3,4,5,3,4,4,2,1,5,4,2,2,4,4,1,6,6,5,3,5,1,2,6,3,2,3,,,1.0,1.0,2,4,4,1,1.0,21.0,0,9.0,2,1,7.0,50000000.0,4,3,20,3,25,3,7,0,0,0,1,0,
1327,3,2,97,4,1,14440.0,2,0.0,1.0,0.0,4,1,2,98.0,300000000.0,1000000,1983,4,4,0,0,1,1,0,0,1,0,0,0,,,,,,,,,,,4,3,3,2,3,3,3,0,3,,0,1,0,0,0,0,0,1.0,2.0,2020.0,0.0,,0.0,0,,0,2,2,7,2,4.0,,10.0,3,3,1,3,3,4,1,3,3,3,3,3,3,3,3,4,4,3,3,3,4,3,4,5,4,4,4,4,4,6,6,6,6,6,6,6,,4,3,3,3,4,3,5,5,3,5,5,4,3,4,3,3,3,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,1,6,6,6,6,6,1,2,6,1,1,3,,,0.0,0.0,3,4,3,1,1.0,10.0,0,6.0,3,0,,,3,4,,4,,3,2,0,0,1,0,0,
1360,2,1,1,5,2,11750.0,1,0.0,0.0,1.0,3,2,2,6.0,400.0,999999,2012,98,3,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,3,3,3,2,3,2,3,98,3,60.0,0,0,0,0,0,1,0,0.0,,,,,,0,,0,1,3,2,98,3.0,,25.0,3,3,2,2,2,2,3,3,2,3,3,2,2,3,2,2,2,3,2,2,2,2,3,3,3,3,2,3,2,2,3,3,2,3,3,4,3.0,1,2,2,2,3,3,2,2,3,1,2,3,2,2,3,3,3,3,2,3,2,2,3,2,3,2,2,2,2,1,2,2,2,1,2,2,2,3,3,2,1,1,2,2,3,,,0.0,1.0,3,5,3,1,3.0,30.0,1,5.0,2,1,3.0,,3,98,,99,,4,99,0,0,0,1,0,
1558,3,2,1,3,97,60113.0,97,0.0,1.0,0.0,3,3,2,6.0,100000000.0,5000000,1981,98,3,1,0,0,1,0,0,0,0,0,0,,,,,,,,,,,3,3,3,3,3,3,3,0,3,50.0,0,0,0,0,0,0,1,0.0,,,,,,0,,0,2,2,1,2,3.0,,15.0,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,2.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,3,,,0.0,0.0,3,3,3,98,,,1,,2,0,,,4,98,,98,,4,98,0,0,0,1,0,0.0
